Nombre;A�o de Nacimiento;Edad;Pierna H�bil; Valor Mercado EUR ; SueldoAnualEUR ;Equipo;Posici�n
Gonzalo Pérez;2004;21;Derecho; $64.445.154 ; $21.963.581 ;Arsenal;Portero
Emiliano Gutiérrez;1988;37;Izquierdo; $13.472.556 ; $9.195.957 ;Juventus;Delantero
David Sánchez;2003;22;Derecho; $96.838.495 ; $20.936.843 ;Barcelona;Extremo izquierdo
Fernando Torres;1997;28;Ambidiestro; $89.292.786 ; $24.351.162 ;AC Milan;Extremo izquierdo
Luis Fernández;1989;36;Derecho; $10.091.186 ; $18.096.558 ;Atletico Madrid;Lateral izquierdo
Diego Gutiérrez;1999;26;Ambidiestro; $46.619.656 ; $21.791.985 ;Atletico Madrid;Centrocampista
Diego Martínez;2001;24;Izquierdo; $79.615.353 ; $11.387.707 ;Chelsea;Extremo derecho
Tomás Gutiérrez;2001;24;Derecho; $69.998.333 ; $6.438.896 ;Borussia Dortmund;Lateral derecho
Daniel Fernández;2006;19;Izquierdo; $52.178.561 ; $12.057.819 ;Chelsea;Centrocampista
Mateo Torres;1993;32;Izquierdo; $89.875.793 ; $11.775.354 ;AC Milan;Centrocampista
Nicolás Torres;1995;30;Izquierdo; $34.456.620 ; $1.907.879 ;Napoli;Extremo derecho
Andrés Vargas;2000;25;Ambidiestro; $46.359.186 ; $20.693.793 ;AC Milan;Centrocampista defensivo
Marcos Vargas;1996;29;Izquierdo; $60.274.103 ; $13.675.824 ;PSG;Delantero
Luis Ramírez;1990;35;Izquierdo; $73.436.289 ; $21.932.896 ;Barcelona;Lateral derecho
Bruno Sánchez;1989;36;Izquierdo; $24.212.480 ; $1.309.356 ;Atletico Madrid;Centrocampista
Martín Rodríguez;1998;27;Izquierdo; $34.300.223 ; $12.273.600 ;AC Milan;Lateral derecho
Nicolás Vargas;1991;34;Izquierdo; $39.538.250 ; $21.979.761 ;Napoli;Centrocampista ofensivo
Bruno Pérez;2002;23;Derecho; $79.331.660 ; $9.946.762 ;Arsenal;Centrocampista
Emiliano Fernández;2001;24;Ambidiestro; $6.509.614 ; $6.132.316 ;Manchester City;Centrocampista ofensivo
Carlos Pérez;1998;27;Izquierdo; $31.439.244 ; $2.212.544 ;Tottenham;Portero
Andrés Ramírez;1990;35;Ambidiestro; $18.855.004 ; $16.667.631 ;Atletico Madrid;Centrocampista
Marcos Gutiérrez;2000;25;Derecho; $60.881.540 ; $14.237.639 ;Liverpool;Extremo izquierdo
Sebastián Vargas;1993;32;Izquierdo; $11.743.175 ; $3.120.037 ;Liverpool;Lateral derecho
Mateo Gómez;1990;35;Derecho; $17.577.709 ; $23.286.017 ;Borussia Dortmund;Centrocampista defensivo
Tomás Torres;1989;36;Derecho; $70.336.934 ; $18.952.900 ;Inter de Milán;Centrocampista ofensivo
Mateo Fernández;2006;19;Izquierdo; $56.675.921 ; $22.500.715 ;Arsenal;Extremo derecho
Bruno Fernández;1988;37;Ambidiestro; $7.333.123 ; $3.965.101 ;Tottenham;Lateral izquierdo
David Gómez;2006;19;Derecho; $35.751.022 ; $20.737.123 ;Chelsea;Lateral izquierdo
Martín Gutiérrez;1990;35;Derecho; $46.250.178 ; $2.319.989 ;PSG;Lateral izquierdo
Mateo Sánchez;1998;27;Ambidiestro; $34.441.164 ; $16.082.501 ;Atletico Madrid;Lateral izquierdo
Emiliano Ramírez;1993;32;Izquierdo; $86.852.462 ; $17.276.918 ;Tottenham;Lateral izquierdo
Martín Vargas;1995;30;Ambidiestro; $40.135.283 ; $24.037.903 ;Bayern Munich;Delantero
Marcos Sánchez;2004;21;Ambidiestro; $19.843.965 ; $19.777.863 ;Barcelona;Centrocampista ofensivo
Bruno Martínez;2005;20;Derecho; $13.150.178 ; $11.856.059 ;Barcelona;Delantero
Daniel Sánchez;1993;32;Derecho; $17.157.632 ; $14.925.358 ;Inter de Milán;Portero
Daniel Ramírez;1998;27;Derecho; $41.189.157 ; $5.707.622 ;AC Milan;Lateral derecho
Lucas Torres;2006;19;Ambidiestro; $94.751.416 ; $7.311.758 ;Bayern Munich;Centrocampista defensivo
Bruno Ramírez;2001;24;Ambidiestro; $28.890.431 ; $21.497.301 ;AC Milan;Centrocampista defensivo
Diego Vargas;1992;33;Ambidiestro; $34.537.274 ; $1.037.672 ;Atletico Madrid;Centrocampista defensivo
Martín Torres;1991;34;Izquierdo; $92.900.008 ; $21.986.166 ;Real Madrid;Lateral izquierdo
Bruno Torres;1988;37;Izquierdo; $78.368.810 ; $12.523.340 ;Liverpool;Lateral derecho
Nicolás Ramírez;1993;32;Ambidiestro; $73.798.769 ; $11.728.292 ;Real Madrid;Portero
Tomás Gómez;2001;24;Derecho; $60.422.848 ; $12.020.849 ;Inter de Milán;Extremo izquierdo
Emiliano Gómez;1996;29;Izquierdo; $4.116.456 ; $13.906.144 ;Inter de Milán;Centrocampista
Gonzalo Torres;1995;30;Izquierdo; $88.749.738 ; $21.335.312 ;Manchester City;Lateral derecho
Lucas Vargas;2005;20;Derecho; $33.595.493 ; $18.622.046 ;Tottenham;Centrocampista ofensivo
Lucas Rodríguez;2005;20;Izquierdo; $21.293.002 ; $24.064.657 ;PSG;Defensa central
Daniel Torres;1990;35;Izquierdo; $69.272.472 ; $8.768.523 ;Inter de Milán;Extremo derecho
Andrés Martínez;1988;37;Derecho; $42.801.427 ; $13.124.284 ;Real Madrid;Centrocampista defensivo
Sebastián Gutiérrez;2000;25;Derecho; $98.187.014 ; $23.147.384 ;Manchester City;Centrocampista
Sebastián Fernández;1993;32;Derecho; $97.065.528 ; $9.246.805 ;Juventus;Delantero
Carlos Rodríguez;1999;26;Izquierdo; $3.311.936 ; $3.234.469 ;Barcelona;Defensa central
Iván Ramírez;1988;37;Izquierdo; $74.928.883 ; $23.077.846 ;Real Madrid;Centrocampista ofensivo
Carlos Vargas;2004;21;Izquierdo; $48.409.619 ; $19.301.803 ;Borussia Dortmund;Extremo derecho
Fernando Pérez;1996;29;Derecho; $12.671.353 ; $14.777.942 ;Tottenham;Centrocampista
Marcos Gómez;2002;23;Derecho; $37.491.571 ; $23.797.418 ;AC Milan;Centrocampista ofensivo
Emiliano Torres;1999;26;Izquierdo; $6.774.234 ; $12.138.067 ;Liverpool;Centrocampista
Lucas Fernández;1994;31;Derecho; $62.002.969 ; $19.344.828 ;Atletico Madrid;Defensa central
Fernando Vargas;1995;30;Ambidiestro; $29.487.170 ; $3.072.659 ;Arsenal;Defensa central
Luis Vargas;1988;37;Derecho; $27.458.978 ; $20.063.153 ;Chelsea;Centrocampista defensivo
Luis Gómez;1998;27;Izquierdo; $88.862.913 ; $23.018.928 ;Atletico Madrid;Extremo derecho
David Pérez;1999;26;Ambidiestro; $41.933.179 ; $21.694.414 ;Atletico Madrid;Centrocampista ofensivo
Nicolás Fernández;1996;29;Izquierdo; $76.660.045 ; $23.419.783 ;Liverpool;Delantero
Martín Ramírez;2003;22;Derecho; $98.561.619 ; $5.788.472 ;Barcelona;Delantero
Marcos Fernández;1993;32;Ambidiestro; $36.362.231 ; $18.074.298 ;Atletico Madrid;Extremo izquierdo
Mateo Martínez;1991;34;Izquierdo; $93.553.410 ; $17.884.820 ;Bayern Munich;Centrocampista
Luis Sánchez;1994;31;Derecho; $91.856.560 ; $18.173.363 ;Borussia Dortmund;Lateral izquierdo
Marcos Pérez;1991;34;Ambidiestro; $88.692.494 ; $18.222.850 ;Bayern Munich;Extremo derecho
David Vargas;2005;20;Izquierdo; $75.432.121 ; $15.058.120 ;Manchester City;Centrocampista
Martín Martínez;2001;24;Izquierdo; $31.436.485 ; $23.754.668 ;Manchester City;Centrocampista defensivo
Lucas Gutiérrez;1998;27;Izquierdo; $30.719.422 ; $7.113.319 ;Tottenham;Extremo derecho
David Martínez;1989;36;Derecho; $59.697.764 ; $11.785.901 ;Arsenal;Extremo izquierdo
Emiliano Rodríguez;1989;36;Izquierdo; $74.655.519 ; $24.318.642 ;Bayern Munich;Lateral izquierdo
Javier Torres;2005;20;Ambidiestro; $61.923.736 ; $11.000.003 ;Manchester City;Centrocampista defensivo
Carlos Gutiérrez;1995;30;Ambidiestro; $4.228.047 ; $19.955.600 ;Napoli;Centrocampista
Pablo Gutiérrez;2003;22;Derecho; $63.685.966 ; $19.229.548 ;Tottenham;Extremo izquierdo
Gonzalo Sánchez;1997;28;Izquierdo; $81.569.921 ; $5.826.852 ;Atletico Madrid;Lateral derecho
Pablo Vargas;2000;25;Derecho; $88.957.361 ; $10.389.583 ;Chelsea;Centrocampista defensivo
Sebastián Sánchez;1989;36;Ambidiestro; $84.780.332 ; $18.855.809 ;Bayern Munich;Delantero
Gonzalo Gómez;1988;37;Ambidiestro; $52.985.528 ; $15.520.091 ;PSG;Portero
Sebastián Pérez;1997;28;Ambidiestro; $71.767.249 ; $17.789.270 ;Tottenham;Centrocampista defensivo
Daniel Gómez;1998;27;Derecho; $27.103.362 ; $22.039.714 ;Barcelona;Lateral izquierdo
Iván Pérez;2005;20;Derecho; $25.169.536 ; $20.130.243 ;Liverpool;Delantero
Diego Pérez;1989;36;Ambidiestro; $18.065.798 ; $13.727.185 ;Liverpool;Extremo izquierdo
Pablo Pérez;2004;21;Izquierdo; $40.584.656 ; $22.055.564 ;PSG;Centrocampista
Carlos Torres;2006;19;Derecho; $73.834.350 ; $13.766.471 ;Barcelona;Defensa central
Sebastián Martínez;1989;36;Ambidiestro; $83.159.993 ; $6.605.550 ;Borussia Dortmund;Portero
Gonzalo Vargas;1999;26;Izquierdo; $89.583.309 ; $16.875.906 ;Liverpool;Centrocampista ofensivo
Martín Gómez;1995;30;Derecho; $57.841.534 ; $12.584.241 ;Napoli;Lateral derecho
Carlos Gómez;2001;24;Izquierdo; $62.131.002 ; $16.912.876 ;Bayern Munich;Centrocampista ofensivo
David Gutiérrez;1994;31;Ambidiestro; $53.712.803 ; $8.934.241 ;Inter de Milán;Lateral derecho
Daniel Gutiérrez;1994;31;Derecho; $94.127.464 ; $6.095.935 ;Borussia Dortmund;Lateral izquierdo
Andrés Pérez;2004;21;Ambidiestro; $79.256.039 ; $3.815.904 ;Inter de Milán;Centrocampista
Nicolás Gómez;1997;28;Ambidiestro; $10.868.330 ; $2.412.871 ;Barcelona;Portero
Gonzalo Ramírez;1991;34;Ambidiestro; $17.604.694 ; $12.250.121 ;Liverpool;Portero
Tomás Ramírez;1994;31;Ambidiestro; $24.932.217 ; $1.381.361 ;Atletico Madrid;Delantero
Pablo Martínez;2004;21;Ambidiestro; $39.587.286 ; $18.767.582 ;Napoli;Lateral derecho
Javier Vargas;1990;35;Ambidiestro; $12.931.842 ; $20.835.562 ;Real Madrid;Extremo derecho
Martín Fernández;2002;23;Izquierdo; $4.262.764 ; $4.989.385 ;Barcelona;Extremo izquierdo
Mateo Gutiérrez;2003;22;Derecho; $29.472.184 ; $6.480.538 ;Manchester City;Lateral derecho
Gonzalo Rodríguez;1988;37;Derecho; $60.294.812 ; $13.757.330 ;Arsenal;Lateral izquierdo
Lucas Ramírez;1996;29;Derecho; $54.140.218 ; $19.874.201 ;Juventus;Delantero
Emiliano Sánchez;2006;19;Derecho; $6.190.935 ; $18.139.557 ;Manchester City;Lateral derecho
Carlos Martínez;2002;23;Derecho; $70.518.336 ; $9.078.948 ;Liverpool;Centrocampista defensivo
Javier Fernández;2006;19;Ambidiestro; $39.529.689 ; $3.396.686 ;Liverpool;Delantero
Sebastián Torres;2002;23;Derecho; $72.283.453 ; $24.349.319 ;Inter de Milán;Defensa central
David Rodríguez;1998;27;Izquierdo; $64.662.757 ; $12.254.685 ;Atletico Madrid;Defensa central
Mateo Vargas;1993;32;Derecho; $39.708.340 ; $2.269.048 ;AC Milan;Extremo derecho
Nicolás Sánchez;1989;36;Ambidiestro; $22.867.413 ; $15.930.192 ;PSG;Extremo izquierdo
Luis Gutiérrez;2001;24;Izquierdo; $47.794.383 ; $24.918.179 ;Borussia Dortmund;Portero
Daniel Vargas;1998;27;Derecho; $36.074.766 ; $12.542.647 ;Bayern Munich;Portero
Tomás Martínez;2002;23;Ambidiestro; $63.817.980 ; $22.632.701 ;Arsenal;Extremo derecho
Marcos Rodríguez;2003;22;Izquierdo; $15.568.223 ; $13.469.615 ;Atletico Madrid;Extremo derecho
Bruno Rodríguez;1999;26;Izquierdo; $43.228.841 ; $11.678.931 ;PSG;Lateral izquierdo
Nicolás Rodríguez;1996;29;Izquierdo; $28.553.597 ; $12.520.387 ;Tottenham;Defensa central
Javier Pérez;1993;32;Izquierdo; $44.753.222 ; $17.891.798 ;PSG;Centrocampista defensivo
Fernando Gutiérrez;1995;30;Derecho; $66.972.024 ; $14.268.033 ;PSG;Centrocampista
Andrés Rodríguez;1993;32;Derecho; $73.375.249 ; $16.573.508 ;PSG;Portero
Javier Ramírez;2003;22;Derecho; $28.527.557 ; $21.680.701 ;Borussia Dortmund;Portero
Luis Martínez;1990;35;Derecho; $70.471.829 ; $4.667.349 ;AC Milan;Defensa central
Iván Sánchez;1992;33;Derecho; $81.608.520 ; $6.685.131 ;Liverpool;Extremo derecho
Iván Rodríguez;1990;35;Ambidiestro; $5.340.984 ; $1.749.723 ;Juventus;Extremo izquierdo
Diego Fernández;1990;35;Ambidiestro; $3.947.155 ; $4.237.391 ;AC Milan;Extremo izquierdo
Javier Rodríguez;1996;29;Izquierdo; $22.394.124 ; $19.969.106 ;Borussia Dortmund;Extremo izquierdo
Pablo Ramírez;1996;29;Ambidiestro; $64.159.955 ; $10.899.194 ;Napoli;Delantero
David Fernández;1990;35;Derecho; $10.441.471 ; $13.608.081 ;Atletico Madrid;Lateral derecho
Diego Rodríguez;1998;27;Derecho; $74.722.252 ; $2.417.643 ;Inter de Milán;Centrocampista defensivo
Javier Sánchez;1988;37;Izquierdo; $69.483.423 ; $15.556.319 ;PSG;Extremo derecho
Pablo Torres;2004;21;Ambidiestro; $98.361.383 ; $12.448.810 ;Juventus;Centrocampista ofensivo
Daniel Martínez;2005;20;Izquierdo; $53.671.953 ; $21.480.992 ;Atletico Madrid;Extremo derecho
Fernando Ramírez;2003;22;Ambidiestro; $91.926.558 ; $21.848.835 ;Arsenal;Centrocampista defensivo
Fernando Fernández;1991;34;Ambidiestro; $93.680.555 ; $1.758.103 ;Juventus;Extremo izquierdo
Andrés Sánchez;1989;36;Derecho; $89.549.397 ; $20.420.021 ;Napoli;Lateral izquierdo
Andrés Torres;1996;29;Ambidiestro; $62.820.202 ; $19.762.388 ;Inter de Milán;Portero
Diego Sánchez;1991;34;Derecho; $47.595.054 ; $9.651.393 ;Barcelona;Extremo derecho
Fernando Gómez;2002;23;Izquierdo; $94.543.146 ; $1.925.627 ;Manchester City;Centrocampista defensivo
Mateo Ramírez;2000;25;Derecho; $26.522.854 ; $7.674.846 ;Napoli;Centrocampista
Iván Fernández;2006;19;Ambidiestro; $68.740.785 ; $14.787.105 ;Atletico Madrid;Portero
Andrés Gómez;2006;19;Derecho; $32.206.371 ; $21.111.766 ;Borussia Dortmund;Delantero
Sebastián Gómez;2001;24;Derecho; $55.617.894 ; $16.652.919 ;Chelsea;Delantero
Bruno Gutiérrez;1991;34;Izquierdo; $73.953.820 ; $20.473.140 ;PSG;Defensa central
Tomás Fernández;1991;34;Derecho; $31.753.361 ; $22.799.126 ;Barcelona;Lateral derecho
Sebastián Rodríguez;1994;31;Ambidiestro; $19.675.863 ; $17.119.411 ;Inter de Milán;Centrocampista
Gonzalo Fernández;2006;19;Izquierdo; $75.992.571 ; $12.684.473 ;Barcelona;Centrocampista defensivo
